mature_miRNA,disease,potential_biomarker,miRNA_type,author,journal,title,year,method,description
hsa-miR-122,normal,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-126,normal,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-146a,normal,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-16,normal,0,circulating,moussay e et al.,pnas 108(16):6573-8,microrna as biomarkers and regulators in b-cell chronic lymphocytic leukemia.,2011,mirneasy kit (qiagen)|taq mirna low-density array from applied biosystems,"circulating mirnas can be sensitive biomarkers for cll, because certain extracellular mirnas are present in cll patient plasma at levels significantly different from healthy controls and from patients affected by other hematologic malignancies. The levels of several of these circulating mirnas also displayed significant differences between zeta-associated protein 70 (zap-70)(+) and zap-70(-) cll. "
hsa-miR-122,normal,0,circulating,mcdonald js et al.,clin chem. 57(6):833-40,analysis of circulating microrna: preanalytical and analytical challenges.,2011,qrt-pcr,"mirna concentrations were higher in plasma than in serum. The mirnas analyzed were stable refrigerated or frozen for up to 72 h and were stable at room temperature for 24 h. Hemolysis increased the apparent concentration of 3 of the mirnas. The total variability of replicate mirna concentrations was <2.0-fold, with most of the variability attributable to the extraction process and interassay imprecision. Normalizing results to those of spiked exogenous control mirnas did not improve this variability."
hsa-miR-15b,normal,0,circulating,mcdonald js et al.,clin chem. 57(6):833-40,analysis of circulating microrna: preanalytical and analytical challenges.,2011,qrt-pcr,"mirna concentrations were higher in plasma than in serum. The mirnas analyzed were stable refrigerated or frozen for up to 72 h and were stable at room temperature for 24 h. Hemolysis increased the apparent concentration of 3 of the mirnas. The total variability of replicate mirna concentrations was <2.0-fold, with most of the variability attributable to the extraction process and interassay imprecision. Normalizing results to those of spiked exogenous control mirnas did not improve this variability."
hsa-miR-16,normal,0,circulating,mcdonald js et al.,clin chem. 57(6):833-40,analysis of circulating microrna: preanalytical and analytical challenges.,2011,qrt-pcr,"mirna concentrations were higher in plasma than in serum. The mirnas analyzed were stable refrigerated or frozen for up to 72 h and were stable at room temperature for 24 h. Hemolysis increased the apparent concentration of 3 of the mirnas. The total variability of replicate mirna concentrations was <2.0-fold, with most of the variability attributable to the extraction process and interassay imprecision. Normalizing results to those of spiked exogenous control mirnas did not improve this variability."
hsa-miR-24,normal,0,circulating,mcdonald js et al.,clin chem. 57(6):833-40,analysis of circulating microrna: preanalytical and analytical challenges.,2011,qrt-pcr,"mirna concentrations were higher in plasma than in serum. The mirnas analyzed were stable refrigerated or frozen for up to 72 h and were stable at room temperature for 24 h. Hemolysis increased the apparent concentration of 3 of the mirnas. The total variability of replicate mirna concentrations was <2.0-fold, with most of the variability attributable to the extraction process and interassay imprecision. Normalizing results to those of spiked exogenous control mirnas did not improve this variability."
hsa-let-7b*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-let-7f-1*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1183,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-122,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1234,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1238,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1249,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1260,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1263,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1266,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1272,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1276,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1292,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1300,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-1323,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-133b,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-135a*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-139-3p,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-16-1*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-16-2*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-191*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-196a*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-198,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-200b*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-202,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-296-5p,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-34b,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-371-5p,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-379*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-483-5p,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-495,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-498,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-510,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-516b*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-548a-3p,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-559,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-570,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-603,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-605,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-625*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-635,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-658,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-659,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-664,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-921,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-92a-2*,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-940,normal,0,circulating,duttagupta r et al.,plos one 6(6): e20769.,impact of cellular mirnas on circulating mirna biomarker signatures,2011,abi 7500 real-time pcr instrument and miscript quantitative pcr system (qiagen),cellular mirna signatures in cohorts of normal individuals are catalogued and the abundance and gender specific expression of bona fide circulating markers explored after calibrating the signal for this interfering class. A map of differentially expressed profiles is presented and the intrinsic variability of circulating mirna species investigated in subsets of healthy males and females.
hsa-miR-210,pancreatic cancer,0,circulating,ho as et al.,transl oncol. 3(2):109-13.,circulating mir-210 as a novel hypoxia marker in pancreatic cancer.,2010,"reverse transcription-pcr (qrt-pcr)|taqman microrna assays (applied biosystems, foster city, ca)",circulating mir-210 levels are elevated in pancreatic cancer patients and may potentially serve as a useful biomarker for pancreatic cancer diagnosis.
hsa-miR-200a,pancreatic cancer,0,circulating,li a et al.,cancer res. 70(13):5226-37,pancreatic cancers epigenetically silence sip1 and hypomethylate and overexpress mir-200a/200b in association with elevated circulating mir-200a and mir-200b levels.,2010,mirvana paris kit (ambion 1556)|taqman microrna assays and taqman microrna reverse transcription kit (applied biosystems),both mir-200a and mir-200b were significantly elevated in the sera of pancreatic cancer and chronic pancreatitis patients compared with healthy controls (p < 0.0001).
hsa-miR-200b,pancreatic cancer,0,circulating,li a et al.,cancer res. 70(13):5226-37,pancreatic cancers epigenetically silence sip1 and hypomethylate and overexpress mir-200a/200b in association with elevated circulating mir-200a and mir-200b levels.,2010,mirvana paris kit (ambion 1556)|taqman microrna assays and taqman microrna reverse transcription kit (applied biosystems),both mir-200a and mir-200b were significantly elevated in the sera of pancreatic cancer and chronic pancreatitis patients compared with healthy controls (p < 0.0001).
hsa-let-7e,papillary thyroid carcinomas (ptc),1,circulating,yu s et al.,j clin endocrinol metab.,circulating microrna profiles as potential biomarkers for diagnosis of papillary thyroid carcinoma.,2012,solexa sequencing|quantitative rt-pcr,"the expression of serum let-7e, mir-151-5p, and mir-222 was significantly increased in ptc cases relative to benign cases and healthy controls. Expression of serum mir-151-5p and mir-222 in a subset of ptc patients decreased significantly after tumor excision. Increased expression of mir-151-5p and mir-222 was also found in the tissue of ptc patients."
hsa-miR-151-5p,papillary thyroid carcinomas (ptc),1,circulating,yu s et al.,j clin endocrinol metab.,circulating microrna profiles as potential biomarkers for diagnosis of papillary thyroid carcinoma.,2012,solexa sequencing|quantitative rt-pcr,"the expression of serum let-7e, mir-151-5p, and mir-222 was significantly increased in ptc cases relative to benign cases and healthy controls. Expression of serum mir-151-5p and mir-222 in a subset of ptc patients decreased significantly after tumor excision. Increased expression of mir-151-5p and mir-222 was also found in the tissue of ptc patients."
hsa-miR-222,papillary thyroid carcinomas (ptc),1,circulating,yu s et al.,j clin endocrinol metab.,circulating microrna profiles as potential biomarkers for diagnosis of papillary thyroid carcinoma.,2012,solexa sequencing|quantitative rt-pcr,"the expression of serum let-7e, mir-151-5p, and mir-222 was significantly increased in ptc cases relative to benign cases and healthy controls. Expression of serum mir-151-5p and mir-222 in a subset of ptc patients decreased significantly after tumor excision. Increased expression of mir-151-5p and mir-222 was also found in the tissue of ptc patients."
hsa-miR-181b,papillary thyroid carcinomas (ptc),0,circulating,yu s et al.,j clin endocrinol metab.,circulating microrna profiles as potential biomarkers for diagnosis of papillary thyroid carcinoma.,2012,solexa sequencing|quantitative rt-pcr,"the expression of serum let-7e, mir-151-5p, and mir-222 was significantly increased in ptc cases relative to benign cases and healthy controls. Expression of serum mir-151-5p and mir-222 in a subset of ptc patients decreased significantly after tumor excision. Increased expression of mir-151-5p and mir-222 was also found in the tissue of ptc patients."
hsa-miR-1975,papillary thyroid carcinomas (ptc),0,circulating,yu s et al.,j clin endocrinol metab.,circulating microrna profiles as potential biomarkers for diagnosis of papillary thyroid carcinoma.,2012,solexa sequencing|quantitative rt-pcr,"the expression of serum let-7e, mir-151-5p, and mir-222 was significantly increased in ptc cases relative to benign cases and healthy controls. Expression of serum mir-151-5p and mir-222 in a subset of ptc patients decreased significantly after tumor excision. Increased expression of mir-151-5p and mir-222 was also found in the tissue of ptc patients."
